Route	22	121.389333,31.116852	莘庄地铁站（北广场）	---	80.jpg	18：40																						
Route	22	121.398921,31.106097	都市路，春申路	8：16	81.jpg	18：30																						
Route	22	121.401809,31.100201	都市路，银都路	8：20	82.jpg	18：28																						
Route	22	121.409845,31.07968	都市路，都市支路	8：25	83.jpg	18：23																						
Route	22	121.407967,31.073101	沪闵路，颛桥地铁站	8：30	84.jpg	18：15																						
Route	22	121.456869,31.0265	微软上海园区	8：55	85.jpg	18：00																						
Route	23	121.349272,31.086438	明兴路，明中路	8：06	86.jpg	19：20																						
Route	23	121.396556,31.028983	华宁路，银康路	8：36	87.jpg	18：30																						
Route	23	121.456869,31.0265	微软上海园区	8：55	88.jpg	18：00																						
Route	32	121.544646,31.207327	锦绣路，东建路	7：30	89.jpg	18：50																						
Route	32	121.564243,31.235885	芳甸路，丁香路	7：40	90.jpg	18：40																						
Route	32	121.527881,31.154822	东明路，尚博路	8：00	91.jpg	18：20																						
Route	32	121.530609,31.147998	永泰路，三林公交站	8：05	92.jpg	18：15																						
Route	32	121.456869,31.0265	微软上海园区	8：48	93.jpg	17：30																						
Route	33	121.520696,31.279757	控江路，双辽路	7：15	94.jpg	19：00																						
Route	33	121.488753,31.296313	大柏树，三号线地铁站	7：40	95.jpg	18：45																						
Route	33	121.456869,31.0265	微软上海园区	8：53	96.jpg	17：30																						
Route	34	121.286231,31.180975	盈港东路站	7：47	97.jpg	18：30																						
Route	34	121.289436,31.210575	金丰路，运乐路	8：04	98.jpg	18：15																						
Route	34	121.287832,31.212478	金丰路，幸乐路	8：07	99.jpg	18：12																						
Route	34	121.456869,31.0265	微软上海园区	8：45	100.jpg	17：30																						
Route	36	121.486504,31.401205	宝杨路地铁站	---	101.jpg	19：05																						
Route	36	121.500496,31.390636	水产路，牡丹江路	7：05	102.jpg	18：58																						
Route	36	121.491738,31.324167	殷高路地铁站	7：26	103.jpg	18：43																						
Route	36	121.494607,31.309872	仁德路，逸仙路	7：32	104.jpg	18：35																						
Route	36	121.456869,31.0265	微软上海园区	8：50	105.jpg	17：30																						
Route	37	121.311404,31.149915	九谊路，亭知路	7：45	106.jpg	19：00																						
Route	37	121.324354,31.143659	九亭地铁站	7：50	107.jpg	18：55																						
Route	37	121.333886,31.13615	沪亭南路，康亭路	7：55	108.jpg	18：50																						
Route	37	121.456869,31.0265	微软上海园区	8：50	109.jpg	18：00																						
Route	38	121.371868,31.255576	丰庄路，丰庄北路	7：45	110.jpg	19：15																						
Route	38	121.376674,31.251357	祁连山南路，延川路	7：50	111.jpg	19：10																						
Route	38	121.385909,31.237223	真北路	8：00	112.jpg	19：00																						
Route	38	121.456869,31.0265	微软上海园区	8：55	113.jpg	18：00																						
Route	39	121.238528,31.060141	松江大学城地铁站	7：50	114.jpg	18：37																						
Route	39	121.236617,31.035423	松江新城地铁站	7：57	115.jpg	18：30																						
Route	39	121.456869,31.0265	微软上海园区	8：47	116.jpg	17：30																						
RT	1	121.442212,31.199838	虹桥路，恭城路	6：15	7：00	7：30	8：05	8：15	8：30	8：45	9：00	9：15	9：30	10：00	11：00	12：30	15：30	117.jpg	13：30	15：00	16：30	17：30	18：30	18：40	19：30	20：00	20：30	21：30
RT	1	121.438458,31.198615	虹桥路，宜山路	6：18	7：03	7：33	8：08	8：18	8：33	8：48	9：03	9：18	9：33	10：03	11：03	12：33	15：33	118.jpg	---	---	---	---	---	---	---	---	---	---
RT	1	121.456869,31.0265	微软上海园区	6：55	7：40	8：10	9：00	9：10	9：25	9：38	9：40	9：55	10：10	10：40	11：40	13：10	16：10	119.jpg	12：30	14：00	15：30	16：30	17：30	17：40	18：30	19：00	19：30	20：30
RT	2	121.408975,31.134439	轨道莲花南路站南广场	7：15	7：50	8：20	8：40	9：15	10：15	120.jpg	17：13	18：13	18：43	19：28	20：13	20：58	21：43											
RT	2	121.413182,31.129301	莲花南路，罗锦路	7：18	7：53	8：23	8：43	9：18	10：18	121.jpg	17：10	18：08	18：38	19：25	20：10	20：55	21：40											
RT	2	121.416407,31.112716	上海春城	7：23	7：58	8：28	8：48	9：23	10：23	122.jpg	17：05	18：05	18：35	19：20	20：05	20：50	21：35											
RT	2	121.456869,31.0265	微软上海园区	7：50	8：33	9：03	9：25	9：50	10：40	123.jpg	16：30	17：30	18：00	18：45	19：30	20：15	21：00											
RT	3	121.392563,31.146387	龙茗路，顾戴路	---	8：20	---	124.jpg	16：00	16：45	17：45	19：45	20：45																
RT	3	121.395724,31.136001	龙茗路，古美西路	---	8：23	---	125.jpg	15：55	16：40	17：40	19：40	20：40																
RT	3	121.389333,31.116852	莘庄地铁站（北广场）	8：15	8：45	11：00	126.jpg	15：50	16：35	17：35	19：35	20：35																
RT	3	121.398852,31.111445	名都路，宝城路	---	8：54	11：08	127.jpg	15：45	16：30	17：30	19：30	20：30																
RT	3	121.398921,31.106097	都市路，春申路	---	8：56	---	128.jpg	15：40	16：25	17：25	19：25	20：25																
RT	3	121.401809,31.100201	都市路，银都路	---	9：02	---	129.jpg	15：37	16：22	17：23	19：23	20：23																
RT	3	121.456869,31.0265	微软上海园区	8：40	9：31	11：25	130.jpg	15：15	16：00	17：00	19：00	20：00																
RT	4	121.424916,31.024572	轻轨东川路站	8：10	8：40	9：10	131.jpg	17：43	18：13	18：43	19：43	20：43																
RT	4	121.4338,31.022333	东川路沧源路	8：15	8：45	9：15	132.jpg	17：38	18：08	18：38	19：38	20：38																
RT	4	121.456869,31.0265	微软上海园区	8：20	8：50	9：20	133.jpg	17：30	18：00	18：30	19：30	20：30																
RT	5	121.519842,31.068218	沈杜公路地铁站	9：30	134.jpg	16：55																						
RT	5	121.456869,31.0265	微软上海园区	9：58	135.jpg	16：35																						
